labelId,imageId
"[u'95', u'66', u'137', u'70', u'20']",1
"[u'36', u'66', u'44', u'214', u'105', u'133']",2
"[u'170', u'66', u'97', u'153', u'105', u'138']",3
"[u'18', u'66', u'44', u'153', u'164']",4
"[u'189', u'66', u'176', u'137', u'153', u'74', u'181', u'171', u'138']",5
"[u'190', u'106', u'53', u'153', u'164', u'184']",6
"[u'114', u'222', u'113', u'176', u'214', u'87']",7
"[u'18', u'17', u'66', u'44', u'98', u'49', u'110', u'105']",8
"[u'66', u'97', u'153', u'181', u'105', u'218']",9
"[u'91', u'66', u'59', u'49', u'151', u'105', u'225']",10
"[u'170', u'79', u'66', u'44', u'214', u'2']",11
"[u'15', u'66', u'176', u'137', u'135']",12
"[u'62', u'17', u'66', u'44', u'186', u'171', u'133']",13
"[u'62', u'79', u'117', u'131', u'17', u'66', u'176', u'137', u'153', u'164', u'20']",14
"[u'189', u'17', u'66', u'176', u'137', u'210', u'171', u'138']",15
"[u'91', u'19', u'79', u'106', u'105']",16
"[u'36', u'66', u'44', u'214', u'171', u'13']",17
"[u'66', u'176', u'153', u'74', u'105', u'138']",18
"[u'71', u'148', u'66', u'116', u'105', u'2']",19
"[u'36', u'222', u'66', u'53', u'153', u'164', u'138']",20
"[u'83', u'66', u'99', u'87']",21
"[u'19', u'66', u'97', u'166', u'105', u'2']",22
"[u'66', u'53', u'153', u'105', u'204']",23
"[u'62', u'19', u'79', u'131', u'226', u'148', u'66', u'171', u'150']",24
"[u'18', u'66', u'116', u'105', u'204']",25
"[u'226', u'106', u'153', u'105', u'73']",26
"[u'15', u'66', u'115', u'214', u'72', u'180', u'184']",27
"[u'15', u'66', u'176', u'115', u'137', u'101']",28
"[u'126', u'25', u'78', u'17', u'106', u'224', u'105']",29
"[u'51', u'66', u'158', u'186', u'155', u'180']",30
"[u'71', u'19', u'17', u'148', u'66', u'98', u'153', u'110', u'164', u'20']",31
"[u'60', u'78', u'17', u'222', u'106', u'53']",32
"[u'48', u'19', u'66', u'98', u'137', u'116', u'171', u'20']",33
"[u'60', u'106', u'53']",34
"[u'100', u'66', u'28']",35
"[u'36', u'17', u'113', u'210', u'171', u'2']",36
"[u'62', u'17', u'113', u'101', u'218']",37
"[u'47', u'66', u'137', u'214', u'105', u'20']",38
"[u'212', u'66', u'176', u'115']",39
"[u'52', u'66', u'214', u'171', u'87']",40
"[u'36', u'66', u'153', u'105', u'20']",41
"[u'62', u'222', u'77', u'66', u'13']",42
"[u'212', u'106', u'138']",43
"[u'62', u'66', u'49', u'105']",44
"[u'4', u'66', u'105', u'138']",45
"[u'193', u'66', u'167', u'210', u'171', u'128']",46
"[u'17', u'66', u'167', u'214', u'105', u'73']",47
"[u'93', u'106', u'153', u'164']",48
"[u'80', u'17', u'222', u'66', u'171']",49
"[u'33', u'106']",50
"[u'100', u'148', u'66', u'176', u'137', u'74', u'138']",51
"[u'211', u'106', u'53', u'144', u'171', u'138']",52
"[u'30', u'66', u'98', u'87']",53
"[u'66', u'214', u'105', u'73']",54
"[u'170', u'66', u'133']",55
"[u'62', u'66', u'53', u'153', u'181', u'105', u'20']",56
"[u'109', u'66', u'153', u'171', u'184']",57
"[u'38', u'222', u'66', u'53', u'153', u'105', u'138']",58
"[u'66', u'53', u'153', u'105']",59
"[u'183', u'106', u'214', u'105', u'138']",60
"[u'106', u'214', u'42', u'105']",61
"[u'185', u'19', u'78', u'17', u'106', u'53']",62
"[u'66', u'214', u'181', u'105', u'73']",63
"[u'122', u'148', u'66', u'176', u'116', u'171', u'218']",64
"[u'62', u'66', u'134', u'153', u'105', u'138']",65
"[u'80', u'66', u'214', u'171']",66
"[u'88', u'222', u'66', u'153', u'105', u'138']",67
"[u'32', u'19', u'106', u'97', u'214', u'105']",68
"[u'213', u'17', u'66', u'186', u'175']",69
"[u'91', u'25', u'78', u'17', u'106', u'99', u'153', u'105', u'138']",70
"[u'78', u'106', u'65', u'205', u'143', u'171']",71
"[u'193', u'222', u'66', u'153', u'171']",72
"[u'47', u'66', u'153', u'87']",73
"[u'15', u'19', u'66', u'171', u'9']",74
"[u'66', u'44', u'153', u'181', u'164']",75
"[u'100', u'17', u'148', u'66', u'138']",76
"[u'91', u'106', u'99', u'49', u'105']",77
"[u'36', u'17', u'66', u'44', u'153', u'70', u'171', u'184']",78
"[u'93', u'66', u'176', u'137', u'105', u'184']",79
"[u'183', u'106', u'224', u'214', u'105']",80
"[u'113', u'153', u'105']",81
"[u'66', u'153', u'164', u'218']",82
"[u'62', u'66', u'153', u'74', u'105', u'138']",83
"[u'36', u'148', u'66', u'214', u'70', u'171', u'184']",84
"[u'66', u'53', u'98', u'214', u'105']",85
"[u'92', u'66', u'59', u'224', u'151', u'150']",86
"[u'141', u'66', u'153', u'105']",87
"[u'52', u'66', u'214', u'164', u'133']",88
"[u'36', u'78', u'66', u'53', u'153', u'105', u'204']",89
"[u'122', u'17', u'148', u'66', u'97', u'137', u'153', u'159', u'164', u'20']",90
"[u'62', u'66', u'97', u'205', u'110', u'105', u'63']",91
"[u'66', u'137', u'166', u'105', u'20']",92
"[u'103', u'66', u'214', u'171', u'175']",93
"[u'61', u'106', u'49', u'105']",94
"[u'51', u'222', u'66', u'98', u'186', u'180', u'87']",95
"[u'47', u'66', u'98', u'214', u'55', u'171', u'175']",96
"[u'11', u'142', u'226', u'66', u'153', u'105', u'204']",97
"[u'62', u'66', u'176', u'137', u'116', u'105', u'225']",98
"[u'61', u'66', u'153', u'171', u'20']",99
"[u'188', u'66', u'44', u'184']",100
"[u'32', u'222', u'66', u'97', u'214', u'181', u'105', u'2']",101
"[u'37', u'66']",102
"[u'36', u'17', u'226', u'66', u'137', u'153', u'181', u'164', u'184']",103
"[u'36', u'168', u'66', u'153', u'105', u'20']",104
"[u'217', u'66', u'153', u'171', u'73']",105
"[u'62', u'19', u'66', u'53', u'116', u'171', u'20']",106
"[u'62', u'79', u'66', u'214', u'154', u'171', u'20']",107
"[u'185', u'106', u'53']",108
"[u'36', u'19', u'17', u'148', u'66', u'97', u'116', u'181', u'105', u'184']",109
"[u'196', u'17', u'66', u'98', u'110']",110
"[u'4', u'106', u'153', u'105']",111
"[u'127', u'17', u'66', u'98', u'153', u'105', u'20']",112
"[u'26', u'79', u'226', u'148', u'66', u'65', u'53', u'153', u'143', u'105', u'73']",113
"[u'19', u'17', u'66', u'153', u'105', u'138']",114
"[u'212', u'168', u'77', u'106']",115
"[u'148', u'66', u'53', u'49', u'132', u'105', u'204']",116
"[u'88', u'66', u'153', u'105', u'138']",117
"[u'100', u'66', u'176', u'137', u'74']",118
"[u'106', u'49', u'105']",119
"[u'62', u'113', u'153', u'135', u'105', u'138']",120
"[u'127', u'66', u'137']",121
"[u'66', u'153', u'228', u'105', u'138']",122
"[u'36', u'17', u'148', u'66', u'214', u'132', u'105', u'225']",123
"[u'17', u'222', u'66', u'53', u'210', u'171', u'175']",124
"[u'100', u'66', u'99', u'176', u'138']",125
"[u'66', u'153', u'105', u'138']",126
"[u'222', u'66', u'44', u'153', u'105', u'2']",127
"[u'51', u'17', u'148', u'66', u'98', u'186', u'180']",128
"[u'36', u'19', u'78', u'79', u'66', u'167', u'214', u'171', u'184']",129
"[u'100', u'66']",130
"[u'91', u'66', u'224', u'214', u'105', u'73']",131
"[u'190', u'106', u'53', u'153', u'74', u'164']",132
"[u'183', u'106', u'214', u'42', u'105']",133
"[u'31', u'19', u'106', u'59', u'151']",134
"[u'190', u'106', u'153', u'164']",135
"[u'170', u'111', u'66', u'102', u'105', u'133']",136
"[u'88', u'142', u'66', u'112', u'153', u'74', u'105', u'138']",137
"[u'62', u'78', u'66', u'153', u'164', u'20']",138
"[u'11', u'66', u'137', u'166', u'181', u'164']",139
"[u'15', u'66', u'176', u'137']",140
"[u'18', u'131', u'222', u'66', u'44', u'153', u'140', u'13']",141
"[u'22', u'106', u'99', u'73']",142
"[u'189', u'17', u'66', u'176']",143
"[u'220', u'66', u'186', u'171', u'20']",144
"[u'106', u'97', u'153', u'105', u'138']",145
"[u'61', u'106', u'205', u'105', u'138']",146
"[u'169', u'66', u'151', u'63']",147
"[u'62', u'17', u'66', u'53', u'214', u'105', u'20']",148
"[u'190', u'17', u'106', u'153', u'164', u'138']",149
"[u'100', u'66', u'167', u'75', u'138']",150
"[u'123', u'66', u'180']",151
"[u'57', u'66', u'153', u'105', u'138']",152
"[u'66', u'98', u'49', u'70', u'218']",153
"[u'62', u'66', u'153', u'132', u'164', u'2']",154
"[u'91', u'106', u'49', u'105']",155
"[u'88', u'66', u'176', u'137', u'153', u'74', u'105', u'138']",156
"[u'62', u'66', u'7', u'171', u'184']",157
"[u'193', u'25', u'66', u'176', u'144', u'74', u'171', u'138']",158
"[u'89', u'66', u'110', u'87']",159
"[u'64', u'222', u'66', u'105']",160
"[u'51', u'17', u'222', u'66', u'171', u'20']",161
"[u'66', u'153', u'181', u'105', u'73']",162
"[u'100', u'66', u'176', u'137', u'105', u'9']",163
"[u'114', u'66', u'167', u'214', u'171']",164
"[u'119', u'131', u'17', u'142', u'148', u'66', u'186']",165
"[u'14', u'78', u'17', u'66', u'153', u'105', u'138']",166
"[u'62', u'17', u'66', u'69', u'214', u'105', u'138']",167
"[u'92', u'19', u'106', u'59', u'151']",168
"[u'62', u'17', u'66', u'137', u'153', u'228', u'105', u'20']",169
"[u'78', u'17', u'106', u'153', u'105', u'138']",170
"[u'187', u'19', u'79', u'117', u'131', u'17', u'222', u'142', u'106', u'176', u'115']",171
"[u'48', u'222', u'66', u'203', u'98', u'186', u'171', u'87']",172
"[u'6', u'19', u'78', u'17', u'148', u'106', u'137']",173
"[u'66', u'53', u'153', u'101', u'105', u'138']",174
"[u'114', u'131', u'17', u'142', u'66', u'98', u'214', u'175']",175
"[u'15', u'66', u'176', u'137', u'135']",176
"[u'5', u'106', u'176', u'137', u'153', u'171']",177
"[u'61', u'106', u'214', u'42', u'105', u'138']",178
"[u'177', u'66', u'144', u'171']",179
"[u'66', u'97', u'153', u'105', u'20']",180
"[u'39', u'66', u'44', u'135', u'138']",181
"[u'122', u'66', u'186', u'180', u'2']",182
"[u'18', u'17', u'66', u'53', u'49', u'105', u'128']",183
"[u'62', u'78', u'17', u'66', u'214', u'105', u'9']",184
"[u'39', u'66', u'70', u'138']",185
"[u'12', u'66', u'44', u'153', u'70', u'171', u'184']",186
"[u'189', u'66', u'176', u'137']",187
"[u'106', u'69', u'214', u'143', u'105']",188
"[u'183', u'106', u'214', u'70', u'105', u'138']",189
"[u'122', u'66', u'98', u'186', u'171', u'20']",190
"[u'220', u'168', u'222', u'77', u'66', u'158', u'171', u'63']",191
"[u'18', u'66', u'137', u'49', u'110', u'164']",192
"[u'62', u'66', u'214', u'70', u'171', u'20']",193
"[u'36', u'66', u'44', u'214', u'171', u'184']",194
"[u'52', u'19', u'113', u'69', u'153', u'105', u'138']",195
"[u'100', u'17', u'66', u'216', u'138']",196
"[u'88', u'66', u'153', u'105', u'138']",197
"[u'61', u'106', u'59', u'49', u'105']",198
"[u'185', u'17', u'106', u'28']",199
"[u'91', u'79', u'17', u'66', u'214', u'105']",200
"[u'36', u'17', u'66', u'214', u'154', u'105', u'2']",201
"[u'15', u'66', u'176', u'137', u'228', u'218']",202
"[u'36', u'66', u'44', u'116', u'155', u'171', u'184']",203
"[u'6', u'17', u'113', u'176', u'137', u'28']",204
"[u'222', u'148', u'113', u'176', u'181']",205
"[u'15', u'66', u'214', u'154']",206
"[u'91', u'19', u'78', u'17', u'192', u'106', u'224', u'205', u'105']",207
"[u'114', u'66', u'176', u'214', u'171', u'87']",208
"[u'62', u'142', u'66', u'214', u'171', u'87']",209
"[u'212', u'106', u'214']",210
"[u'122', u'66', u'98', u'137', u'153', u'171', u'9']",211
"[u'189', u'131', u'66', u'176', u'137']",212
"[u'18', u'222', u'66', u'44', u'153', u'105', u'218']",213
"[u'177', u'66', u'53', u'115', u'210']",214
"[u'169', u'17', u'113', u'59', u'151']",215
"[u'96', u'142', u'66', u'98', u'70', u'55']",216
"[u'61', u'106', u'214', u'105', u'138']",217
"[u'148', u'66', u'166', u'154', u'171', u'2']",218
"[u'32', u'17', u'148', u'66', u'224', u'205', u'105', u'225']",219
"[u'122', u'17', u'222', u'66', u'98', u'153', u'171', u'20']",220
"[u'95', u'66', u'98', u'137', u'214', u'164', u'20']",221
"[u'106', u'53', u'153', u'105']",222
"[u'88', u'106', u'153', u'74', u'105', u'138']",223
"[u'217', u'66', u'53', u'153', u'171']",224
"[u'83', u'14', u'17', u'106']",225
"[u'52', u'17', u'222', u'66', u'171', u'175']",226
"[u'51', u'66', u'158', u'186', u'180', u'175']",227
"[u'32', u'66', u'97', u'214', u'105']",228
"[u'18', u'66', u'44', u'214', u'70', u'105']",229
"[u'51', u'17', u'113', u'176', u'171']",230
"[u'52', u'66', u'158', u'214', u'171', u'133']",231
"[u'212', u'66', u'98', u'101']",232
"[u'52', u'66', u'176', u'7']",233
"[u'190', u'106', u'53', u'137', u'153', u'74', u'164', u'138']",234
"[u'122', u'66', u'7', u'171', u'20']",235
"[u'91', u'106', u'59', u'49', u'105', u'73']",236
"[u'66', u'49', u'105', u'128']",237
"[u'62', u'79', u'148', u'66', u'50', u'116', u'154', u'105', u'20']",238
"[u'193', u'66', u'176', u'115', u'137', u'144', u'171']",239
"[u'62', u'17', u'222', u'66', u'97', u'73']",240
"[u'96', u'113', u'44', u'153', u'105', u'138']",241
"[u'100', u'17', u'66']",242
"[u'15', u'19', u'79', u'66', u'176', u'115']",243
"[u'17', u'106', u'224', u'214', u'105']",244
"[u'220', u'66', u'98', u'158', u'205', u'105', u'20']",245
"[u'114', u'131', u'66', u'167', u'175']",246
"[u'32', u'66', u'153', u'55', u'140', u'87']",247
"[u'170', u'17', u'66', u'20']",248
"[u'19', u'131', u'226', u'66', u'214', u'171', u'20']",249
"[u'220', u'222', u'66', u'203', u'186', u'171', u'13']",250
"[u'62', u'17', u'66', u'44', u'153', u'105', u'128']",251
"[u'66', u'98', u'205', u'105', u'128']",252
"[u'200', u'17', u'66', u'214', u'105', u'204']",253
"[u'15', u'66', u'176', u'137', u'135']",254
